    PID TTY          TIME CMD
    971 ?        00:00:00 power-profiles-
    985 ?        00:00:02 snapd
    989 ?        00:00:00 accounts-daemon
    991 ?        00:00:00 cron
    992 ?        00:00:00 switcheroo-cont
    999 ?        00:00:00 systemd-logind
   1001 ?        00:00:02 thermald
   1003 ?        00:00:00 udisksd
   1017 ?        00:00:00 avahi-daemon
   1038 ?        00:00:01 NetworkManager
   1041 ?        00:00:00 wpa_supplicant
   1066 ?        00:00:00 rsyslogd
   1114 ?        00:00:00 ModemManager
   1125 ?        00:00:00 upowerd
   1243 ?        00:00:01 kworker/2:2-mm_percpu_wq
   1253 ?        00:00:00 cupsd
   1256 ?        00:00:00 unattended-upgr
   1271 ?        00:00:00 gdm3
   1285 ?        00:00:00 psimon
   1332 ?        00:00:00 rtkit-daemon
   1423 ?        00:00:00 krfcommd
   1544 ?        00:00:00 colord
   1901 ?        00:00:00 cups-browsed
   1904 ?        00:00:00 kerneloops
   1907 ?        00:00:00 kerneloops
   1938 ?        00:00:00 gdm-session-wor
   1948 ?        00:00:01 systemd
   1953 ?        00:00:00 (sd-pam)
   1968 ?        00:00:01 pipewire
   1969 ?        00:00:00 pipewire
   1970 ?        00:00:00 snapd-desktop-i
   1973 ?        00:00:01 wireplumber
   1974 ?        00:00:00 pipewire-pulse
   1976 ?        00:00:00 gnome-keyring-d
   1987 ?        00:00:01 dbus-daemon
   2017 ?        00:00:00 gvfsd
   2033 ?        00:00:00 xdg-document-po
   2037 ?        00:00:00 gvfsd-fuse
   2046 ?        00:00:00 xdg-permission-
   2055 ?        00:00:00 fusermount3
   2080 tty2     00:00:00 gdm-wayland-ses
   2090 tty2     00:00:00 gnome-session-b
   2156 ?        00:00:00 gcr-ssh-agent
   2157 ?        00:00:00 gnome-session-c
   2178 ?        00:00:00 gnome-session-b
   2184 ?        00:00:02 kworker/0:3-mm_percpu_wq
   2213 ?        00:05:18 gnome-shell
   2215 ?        00:00:00 at-spi-bus-laun
   2226 ?        00:00:00 dbus-daemon
   2332 ?        00:00:00 at-spi2-registr
   2388 ?        00:00:00 snapd-desktop-i
   2419 ?        00:00:00 gnome-shell-cal
   2427 ?        00:00:00 evolution-sourc
   2439 ?        00:00:00 gjs
   2454 ?        00:00:27 ibus-daemon
   2455 ?        00:00:00 gsd-a11y-settin
   2458 ?        00:00:00 gsd-color
   2461 ?        00:00:00 gsd-datetime
   2464 ?        00:00:00 gsd-housekeepin
   2469 ?        00:00:00 gsd-keyboard
   2471 ?        00:00:00 gsd-media-keys
   2472 ?        00:00:00 gsd-power
   2475 ?        00:00:00 gsd-print-notif
   2486 ?        00:00:00 gsd-rfkill
   2488 ?        00:00:00 gsd-screensaver
   2492 ?        00:00:00 gsd-sharing
   2495 ?        00:00:00 gsd-smartcard
   2500 ?        00:00:00 evolution-alarm
   2504 ?        00:00:00 gsd-sound
   2512 ?        00:00:00 gsd-wacom
   2515 ?        00:00:00 gvfs-udisks2-vo
   2534 ?        00:00:00 gsd-disk-utilit
   2608 ?        00:00:00 goa-daemon
   2632 ?        00:00:00 gsd-printer
   2658 ?        00:00:00 gvfs-gphoto2-vo
   2662 ?        00:00:00 ibus-memconf
   2666 ?        00:00:08 ibus-extension-
   2669 ?        00:00:00 goa-identity-se
   2673 ?        00:00:00 ibus-portal
   2692 ?        00:00:00 evolution-calen
   2710 ?        00:00:00 gvfs-afc-volume
   2720 ?        00:00:00 gvfs-goa-volume
   2725 ?        00:00:00 gvfs-mtp-volume
   2736 ?        00:00:00 evolution-addre
   2761 ?        00:00:07 ibus-engine-sim
   2785 ?        00:00:00 dconf-service
   2794 ?        00:00:00 gvfsd-trash
   2815 ?        00:00:00 xdg-desktop-por
   2828 ?        00:00:10 tracker-miner-f
   2832 ?        00:00:00 xdg-desktop-por
   2850 ?        00:00:00 gjs
   2882 ?        00:00:00 xdg-desktop-por
   2951 ?        00:00:00 gvfsd-metadata
   3062 ?        00:00:00 gvfsd-recent
   3085 ?        00:01:14 code
   3090 ?        00:00:00 code
   3091 ?        00:00:00 code
   3093 ?        00:00:00 code
   3108 ?        00:00:00 chrome_crashpad
   3111 ?        00:01:42 Xwayland
   3121 ?        00:00:00 gsd-xsettings
   3145 ?        00:00:00 ibus-x11
   3147 ?        00:00:05 mutter-x11-fram
   3175 ?        00:05:19 code
   3184 ?        00:00:01 code
   3219 ?        00:12:03 code
   3252 ?        00:00:18 code
   3265 ?        00:00:05 code
   3266 ?        00:00:05 code
   3292 ?        00:00:56 code
   3347 pts/0    00:00:00 bash
   3375 ?        00:01:00 cpptools
   3465 ?        00:00:00 update-notifier
   4159 ?        00:00:00 fwupd
   4571 ?        00:00:03 kworker/u32:0-flush-259:0
   5012 ?        00:00:08 gnome-terminal-
   5020 pts/1    00:00:00 bash
   5269 ?        00:00:00 kworker/0:1-cgroup_destroy
   5413 ?        00:00:00 kworker/4:1-events
   5467 ?        00:00:00 kworker/3:1-events
   5956 ?        00:00:00 gjs
   6003 ?        00:00:01 kworker/u32:2-i915
   6123 ?        00:00:00 kworker/1:2
   6170 ?        00:00:00 kworker/u33:1-rb_allocator
   6290 ?        00:00:01 kworker/u32:1-events_power_efficient
   6339 ?        00:00:00 cpptools-srv
   6368 ?        00:00:01 cpptools-srv
   6543 ?        00:00:02 cpptools-srv
   6603 ?        00:00:00 kworker/5:1
   6730 ?        00:00:00 kworker/3:0-events
   6903 ?        00:00:00 kworker/6:0-events
   6905 ?        00:00:00 kworker/u32:3-events_unbound
   6907 ?        00:00:00 kworker/7:1-rcu_gp
   6909 ?        00:00:00 kworker/2:1
   6960 ?        00:00:00 cpptools-srv
   7073 ?        00:00:00 kworker/3:2-events
   7100 ?        00:00:00 cpptools-srv
   7171 pts/1    00:00:00 ps
